text,label
A person was caught storing goods in his house that appeared to be stolen from a nearby warehouse.,Criminal
"The passport office rejected my application without giving any reasons, and I believe this decision was completely arbitrary.",Constitutional
I want to cancel a sale deed for a housing plot because I later discovered the seller had misrepresented facts about the land.,Property
A contractor promised to complete specific finishing work under our agreement but has stopped responding entirely.,Civil
"I paid for broadband internet plan, but the quality of service has been extremely poor and far below what was promised at the time of signing up.",Consumer
My husband wants to transfer property to his relatives before our divorce settlement is finalized.,Family
My private online gardening workshop recordings were leaked and circulated without permission.,Cyber
I discovered that the local administration has been monitoring my personal communications without informing me or obtaining proper authorization.,Constitutional
"My spouse has been unfaithful multiple times, and I want to proceed with a contested divorce.",Family
My relative wants to know if age difference between adoptive parent and child affects eligibility for adoption.,Family
My company is asking me to sign a new contract with reduced salary after two years of service.,Labour
My ex-wife is using visitation as a way to control other aspects of our co-parenting arrangement.,Family
"My neighbour's construction debris has been dumped on my property, and he refuses to clear it.",Civil
"The store overcharged me for a wristwatch beyond the price printed on the label, and they are refusing to correct the bill.",Consumer
My co-founder left the business abruptly without settling his share of the outstanding liabilities.,Civil
I want supervised visitation with my child due to concerns raised during our custody proceedings.,Family
I want to understand my rights if my contract keeps getting renewed without any increase in benefits.,Labour
My employer denies internal transfer requests despite openings matching my skills and experience.,Labour
My father witnessed an accident and is now being pressured by the other party not to give a statement.,Criminal
"Someone is using screenshots of my private conversations to blackmail me, is this illegal?",Cyber
"A person spread false rumours about my professional conduct, and I want to seek damages for reputation harm.",Civil
I want to understand what actions I can take if my employer neglects basic workplace safety standards.,Labour
"A state-run school is failing to fulfil a basic constitutional duty owed to citizens in my area, and I want to act on this.",Constitutional
"My husband moved out of our house last month, and I want to know if this counts as legal separation.",Family
A relative was allegedly abused verbally and physically by constables during a routine check.,Criminal
The e-commerce site delivered an empty box instead of the leather jacket I had ordered and paid for in full online.,Consumer
My elderly father wants to claim maintenance from me and my siblings since he has no income of his own.,Family
"Someone is using my old college project without credit and claiming it as their own work online, is this actionable?",Cyber
My company denied my confirmation as a permanent employee despite completing the required probation period.,Labour
My private support group chat messages were leaked to people outside the group.,Cyber
"After using my dishwasher for just two days, it completely stopped functioning, and the store is blaming me for mishandling it.",Consumer
A colleague at work has been making unwanted physical advances despite being told to stop.,Criminal
My former partner is threatening to upload our private video online if I do not respond to their messages.,Cyber
My cousin wants to know if guardianship automatically ends once the minor reaches the age of majority.,Family
I want to verify whether the title of an orchard land I am about to purchase is completely clear of any disputes.,Property
Someone tried to pass off fake currency notes at a local vegetable market.,Criminal
I want to understand how inheritance works for a family where the deceased had no direct descendants.,Family
A vendor supplied defective raw materials to my factory despite the agreement specifying quality standards.,Civil
I want to know if my employer can terminate me without following the notice period mentioned in my contract.,Labour
A woman was assaulted by a group of men while returning home late from her workplace.,Criminal
"Someone created a deepfake audio clip of me saying offensive things and shared it online, is this punishable?",Cyber
"I suspect the documents shown to me by the seller of an independent house are not genuine, and I need to verify their authenticity.",Property
I want to understand my rights if my former partner refuses to acknowledge paternity of our child.,Family
A stranger created a fake customer helpline using our courier company's name to collect personal details.,Cyber
The registrar's office is delaying the registration of my small plot without giving me any clear reason for the delay.,Property
"A relative alleges that police used excessive force during interrogation, leaving visible injuries.",Criminal
"I was sold a pair of wireless earphones under the false claim that it was imported, but later I found out it was locally manufactured.",Consumer
A group of unknown accounts have been sending repeated threats after I reported their content online.,Cyber
My nephew is claiming ownership of our residential plot even though it was registered solely in my father's name.,Property
What are my constitutional options if a government authority in Kochi continues to ignore my legitimate grievance?,Constitutional
I want to know if my alimony payments stop automatically once my former spouse remarries.,Family
I want to know if I can request compensatory leave for working on weekends occasionally.,Labour
Someone forced a child labourer to work long hours without pay at a roadside eatery.,Criminal
My cousin promised to repay money borrowed for a family emergency but has stopped responding to my messages.,Civil
I want to understand my rights regarding mandatory rest days under standard employment practices.,Labour
I want to know whether a government authority has overstepped its constitutional powers by issuing a certain administrative order.,Constitutional
"I paid the full amount for a flat, but the developer sold the same unit to another buyer as well.",Property
I want to know if an interfaith marriage requires any special declaration before it can be registered.,Family
"The store overcharged me for a smartwatch beyond the price printed on the label, and they are refusing to correct the bill.",Consumer
My employer reduced benefits for employees who did not accept the new restructuring terms.,Labour
"A stranger got my number from social media and calls me repeatedly at odd hours, is this harassment?",Cyber
I want to know if I need my ex-spouse's consent to change our child's school after our separation.,Family
"My friend borrowed my car for a trip and returned it with serious damage, refusing to pay for repairs.",Civil
I want to challenge a government circular that restricts citizens from wearing symbols associated with their ethnic identity at work.,Constitutional
My neighbour is disputing the ownership of a small strip of land that has always been part of my vacant plot.,Property
I want compensation from a contractor whose delay in construction caused us to lose a planned tenant.,Civil
I want to file for divorce since my wife has been living separately with her family for three years now.,Family
A person is using stolen screenshots of my private messages to threaten my professional reputation.,Cyber
My relative's mother-in-law wants to claim maintenance from her son despite years of estrangement between them.,Family
"I paid for express delivery of a power bank, but it arrived more than ten days late without any explanation from the platform.",Consumer
Someone recorded a private video of my friend without her knowledge and shared it in a group chat.,Cyber
My relative wants to understand her rights regarding confidentiality during sensitive family court proceedings.,Family
I want to question the legal authority of a person who has been appointed to hold a public office in Patna.,Constitutional
A government department is denying me a duplicate identity document without giving valid reasons despite repeated requests.,Constitutional
The rental agreement for my commercial shop has an unusual clause that I am worried may not be legally enforceable.,Property
"I purchased a designer saree from an online marketplace, and it turned out to be a counterfeit copy of the original branded product.",Consumer
My employer marked my approved leave as unpaid without any prior communication.,Labour
I want to seek an injunction to stop my neighbour from building a structure that blocks our shared drainage system.,Civil
"I paid in advance for an electric scooter that was never delivered, and now the seller is not responding to my refund requests at all.",Consumer
I want to know if my company can change my employment terms without issuing a revised contract.,Labour
My employer promised performance-based incentives that were never paid despite meeting all targets.,Labour
My relative wants to establish the legitimacy of her child born during a brief separation from her husband.,Family
Someone hacked into my smart speaker account and accessed my voice command history.,Cyber
I was charged extra hidden fees while purchasing a water purifier that were never mentioned anywhere during the checkout process.,Consumer
I want to know if my employer can monitor my personal device usage during remote working hours.,Labour
My neighbour's cattle shed emits a strong smell that has made it uncomfortable to stay in our house.,Civil
I was detained briefly for raising slogans against a government policy during a peaceful demonstration in Jaipur.,Constitutional
A woman was forced into a vehicle against her will outside a railway station in broad daylight.,Criminal
My company terminated several employees overnight without any prior warning or compensation.,Labour
Someone hijacked my personal newsletter account and sent unauthorized promotional emails to my subscribers.,Cyber
A man entered our field without permission and has been harvesting crops that belong to us.,Criminal
"The company's advertisement showed a much larger size for the dinner set, but the delivered product was noticeably smaller than shown.",Consumer
Someone was seen throwing a suspicious substance into our well after an argument over water sharing.,Criminal
"I was cheated during an online matrimonial scam, can I file a police complaint?",Cyber
Is it possible to claim a refund for a wristwatch purchased in Ahmedabad that stopped working just days after delivery?,Consumer
My neighbour has started unauthorized construction that extends into my farmhouse without any legal sanction.,Property
A builder promised certain amenities in our housing society but never delivered them as per the agreement.,Civil
My workplace requires me to work extended hours beyond the standard limit almost every day.,Labour
"The municipal corporation is failing to fulfil a basic constitutional duty owed to citizens in my area, and I want to act on this.",Constitutional
"I have been using a pathway through a neighbouring plot for years, but the new owner is now refusing to allow me access.",Property
My landlord is refusing to return my security deposit even though I vacated the vacant plot in proper condition.,Property
"I have been working overtime regularly, but my company refuses to pay any additional compensation.",Labour
"My father transferred an orchard land to my half-brother through a gift deed, but I believe this transfer was made under pressure.",Property
My cousin wants to understand her rights as an adopted child regarding her biological family's inheritance.,Family
My employer keeps delaying my salary payment by several weeks every single month.,Labour
I want to know if I can refuse to work in conditions I consider unsafe without facing termination.,Labour
A person was found in possession of jewellery that had been reported stolen from a house nearby.,Criminal
My grandfather refuses to hand over possession of the family house even after a partition was agreed upon by the family.,Property
"My r̩sum̩ and personal details were misused to apply for fraudulent loans, what is the legal process?",Cyber
"My employer monitors my work hours excessively while working remotely, causing unnecessary stress.",Labour
"My grandfather transferred his farmhouse to one grandchild through a gift deed, and other family members are contesting it now.",Property
"Someone hacked into my smart doorbell system and is spying on my house, what legal steps should I take?",Cyber
"My husband and I jointly purchased our house, but now we disagree on how to divide it after separation.",Family
My cousin wants to annul her marriage since consent was obtained through serious misrepresentation.,Family
I want to recover charges paid for a service that was never completed as agreed by the provider.,Civil
My company deducted my entire day's salary for taking half a day of approved leave.,Labour
Someone entrusted with safekeeping my mother's jewellery during a wedding never returned it.,Criminal
A state-run school is preventing me from practicing my trade in a public market without giving any valid legal reason.,Constitutional
I want to recover a set of tools I lent to a friend who now claims he never borrowed them.,Civil
A person was hospitalized after consuming sweets that were allegedly laced with a harmful substance.,Criminal
A courier company lost an important package and is refusing to compensate for the value of the contents.,Civil
My platform reduced my per-delivery payout without informing workers in advance.,Labour
