text,label
A person was caught storing goods in his house that appeared to be stolen from a nearby warehouse.,3
"The passport office rejected my application without giving any reasons, and I believe this decision was completely arbitrary.",1
I want to cancel a sale deed for a housing plot because I later discovered the seller had misrepresented facts about the land.,7
A contractor promised to complete specific finishing work under our agreement but has stopped responding entirely.,0
"I paid for broadband internet plan, but the quality of service has been extremely poor and far below what was promised at the time of signing up.",2
My husband wants to transfer property to his relatives before our divorce settlement is finalized.,5
My private online gardening workshop recordings were leaked and circulated without permission.,4
I discovered that the local administration has been monitoring my personal communications without informing me or obtaining proper authorization.,1
"My spouse has been unfaithful multiple times, and I want to proceed with a contested divorce.",5
My relative wants to know if age difference between adoptive parent and child affects eligibility for adoption.,5
My company is asking me to sign a new contract with reduced salary after two years of service.,6
My ex-wife is using visitation as a way to control other aspects of our co-parenting arrangement.,5
"My neighbour's construction debris has been dumped on my property, and he refuses to clear it.",0
"The store overcharged me for a wristwatch beyond the price printed on the label, and they are refusing to correct the bill.",2
My co-founder left the business abruptly without settling his share of the outstanding liabilities.,0
I want supervised visitation with my child due to concerns raised during our custody proceedings.,5
I want to understand my rights if my contract keeps getting renewed without any increase in benefits.,6
My employer denies internal transfer requests despite openings matching my skills and experience.,6
My father witnessed an accident and is now being pressured by the other party not to give a statement.,3
"Someone is using screenshots of my private conversations to blackmail me, is this illegal?",4
"A person spread false rumours about my professional conduct, and I want to seek damages for reputation harm.",0
I want to understand what actions I can take if my employer neglects basic workplace safety standards.,6
"A state-run school is failing to fulfil a basic constitutional duty owed to citizens in my area, and I want to act on this.",1
"My husband moved out of our house last month, and I want to know if this counts as legal separation.",5
A relative was allegedly abused verbally and physically by constables during a routine check.,3
The e-commerce site delivered an empty box instead of the leather jacket I had ordered and paid for in full online.,2
My elderly father wants to claim maintenance from me and my siblings since he has no income of his own.,5
"Someone is using my old college project without credit and claiming it as their own work online, is this actionable?",4
My company denied my confirmation as a permanent employee despite completing the required probation period.,6
My private support group chat messages were leaked to people outside the group.,4
"After using my dishwasher for just two days, it completely stopped functioning, and the store is blaming me for mishandling it.",2
A colleague at work has been making unwanted physical advances despite being told to stop.,3
My former partner is threatening to upload our private video online if I do not respond to their messages.,4
My cousin wants to know if guardianship automatically ends once the minor reaches the age of majority.,5
I want to verify whether the title of an orchard land I am about to purchase is completely clear of any disputes.,7
Someone tried to pass off fake currency notes at a local vegetable market.,3
I want to understand how inheritance works for a family where the deceased had no direct descendants.,5
A vendor supplied defective raw materials to my factory despite the agreement specifying quality standards.,0
I want to know if my employer can terminate me without following the notice period mentioned in my contract.,6
A woman was assaulted by a group of men while returning home late from her workplace.,3
"Someone created a deepfake audio clip of me saying offensive things and shared it online, is this punishable?",4
"I suspect the documents shown to me by the seller of an independent house are not genuine, and I need to verify their authenticity.",7
I want to understand my rights if my former partner refuses to acknowledge paternity of our child.,5
A stranger created a fake customer helpline using our courier company's name to collect personal details.,4
The registrar's office is delaying the registration of my small plot without giving me any clear reason for the delay.,7
"A relative alleges that police used excessive force during interrogation, leaving visible injuries.",3
"I was sold a pair of wireless earphones under the false claim that it was imported, but later I found out it was locally manufactured.",2
A group of unknown accounts have been sending repeated threats after I reported their content online.,4
My nephew is claiming ownership of our residential plot even though it was registered solely in my father's name.,7
What are my constitutional options if a government authority in Kochi continues to ignore my legitimate grievance?,1
I want to know if my alimony payments stop automatically once my former spouse remarries.,5
I want to know if I can request compensatory leave for working on weekends occasionally.,6
Someone forced a child labourer to work long hours without pay at a roadside eatery.,3
My cousin promised to repay money borrowed for a family emergency but has stopped responding to my messages.,0
I want to understand my rights regarding mandatory rest days under standard employment practices.,6
I want to know whether a government authority has overstepped its constitutional powers by issuing a certain administrative order.,1
"I paid the full amount for a flat, but the developer sold the same unit to another buyer as well.",7
I want to know if an interfaith marriage requires any special declaration before it can be registered.,5
"The store overcharged me for a smartwatch beyond the price printed on the label, and they are refusing to correct the bill.",2
My employer reduced benefits for employees who did not accept the new restructuring terms.,6
"A stranger got my number from social media and calls me repeatedly at odd hours, is this harassment?",4
I want to know if I need my ex-spouse's consent to change our child's school after our separation.,5
"My friend borrowed my car for a trip and returned it with serious damage, refusing to pay for repairs.",0
I want to challenge a government circular that restricts citizens from wearing symbols associated with their ethnic identity at work.,1
My neighbour is disputing the ownership of a small strip of land that has always been part of my vacant plot.,7
I want compensation from a contractor whose delay in construction caused us to lose a planned tenant.,0
I want to file for divorce since my wife has been living separately with her family for three years now.,5
A person is using stolen screenshots of my private messages to threaten my professional reputation.,4
My relative's mother-in-law wants to claim maintenance from her son despite years of estrangement between them.,5
"I paid for express delivery of a power bank, but it arrived more than ten days late without any explanation from the platform.",2
Someone recorded a private video of my friend without her knowledge and shared it in a group chat.,4
My relative wants to understand her rights regarding confidentiality during sensitive family court proceedings.,5
I want to question the legal authority of a person who has been appointed to hold a public office in Patna.,1
A government department is denying me a duplicate identity document without giving valid reasons despite repeated requests.,1
The rental agreement for my commercial shop has an unusual clause that I am worried may not be legally enforceable.,7
"I purchased a designer saree from an online marketplace, and it turned out to be a counterfeit copy of the original branded product.",2
My employer marked my approved leave as unpaid without any prior communication.,6
I want to seek an injunction to stop my neighbour from building a structure that blocks our shared drainage system.,0
"I paid in advance for an electric scooter that was never delivered, and now the seller is not responding to my refund requests at all.",2
I want to know if my company can change my employment terms without issuing a revised contract.,6
My employer promised performance-based incentives that were never paid despite meeting all targets.,6
